Question,Answer
ورودی امسال هستم البته,انشالله موفق باشید
انشالله موفق باشید,سلامت باشی عزیز همچنین
چگونه میشه یک سایت باز کرد,یه سایت باز کرد؟ جان؟ ؟ با استفاده از مرورگر؟
کاتلین هم در حال حاضر داره بخوبی پیشرفت میکنه و گوگل ازش حمایت میکنه,کاتلین یه فریم ورک مبتنی بر جاواس؟
از اول برم,از اول تا اخر فقط برو سراغ ری اکت
نظرتون در مورد پایتون چیه ؟,برای چه کاری؟
جاوا سخت نیست؟,نه
اموزش فارسی کم باشه,دنبال اموزش فارسی نباش اگه میخوای خیلی پیشرفت کنی زبان فارسی محدودیت داره
دنبال اموزش فارسی نباش اگه میخوای خیلی پیشرفت کنی زبان فارسی محدودیت داره,بله ولی انگلیسیم زیاد قوی نیست
بله ولی انگلیسیم زیاد قوی نیست,قراره فقط متوجه بشی چی میگه
بله ولی انگلیسیم زیاد قوی نیست,از اول شروع کنید به مرور بهتر میشه
شما بلدید؟,کم و بیش
ممنونتم ماهان جان جواب کامل و خوبی بود,فدات عزیز
کسی سایت سراغ نداره انلاین ازش کتاب خرید؟؟؟کتاب تخصصی,چاپی یا
فروشگاه کامل تری سراغ داشتی بگو این هیجی نداشت,نشریات فارسی همینن
کسی سایت سراغ نداره انلاین ازش کتاب خرید؟؟؟کتاب تخصصی,چجور كتابي؟
چجور كتابي؟,برنامه نویسی
۹۰درصد ممکنه اغراق باشه ولی برای مثال دستور و ساختارش توی همه ی زبان ها یکیه منتهی کمی تغییرات کوچیک یا دستورات ارایه و شرط و مفهومی بلد باشی کارت خیلی راحته فقط تفاوت زبان ها داخل نوع نوشتن,همین طوره
شما یک زبان رو به عنوان پایه قرار بدی و کامل یادش بگیری بعد بری سراغ زبان های دیگ خیلی زودتر و بهتر میشرفت میکنی,درسته
درسته,دوست عزیز عذرخواهی میکنم دخالت میکنم ولی میشه این ربات هارو از گروه حذف کنی
دوست عزیز عذرخواهی میکنم دخالت میکنم ولی میشه این ربات هارو از گروه حذف کنی,دیگه امکان ارسال تبلیغ ندارن
دیگه امکان ارسال تبلیغ ندارن,ربات بود
میدونی، من گاها شب ها ساعت از خواب بیدار میشدم و کد میزدم علاقه یعنی این واقعا,دمت گرم خدایی منم علاقه دارم ولی حال ندارم بیکارمیشم بازی میکنم
اره خب من مدت هاست که بیش از ساعت روزانه کد می زنم شغلمه خب,ناموسا عکستو میزارم صفحه لپ تاپم الگوت قرار میدم
اره خب من مدت هاست که بیش از ساعت روزانه کد می زنم شغلمه خب,منم شغلمه ولی سریع خسته میشم
شما زن داری؟,گفتم بی حوصلم نگفتم که اسکلم ن بابا
توهین نباشه منظورم تو این زمونس با این خرج ومخارج,اره والا با این قیمت ارز
حله ۱۵ساعت کد میزنم,ببینم چی کار می کنی
ببینم چی کار می کنی,ازشوخی گذشته حالا میخوام برم سایبری باید چندتا جیز رو یاد بگیرم حتما
هر سایت ممکنه یه اموزشش عالی دراد,اموزش های کلیک سایت برای اندروید باز نسبتا قشنگ تر بود که اونم یه رفیقی داد بهم
تو ایران خدای برنامه نویسی باشی ماهی تومن نهایت درآمدته,این کاملا اشتباه
روز برنامه نویس هم به دوستان تبریک میگم,ععع روز برنامه نویسه؟
من پسر خالم جاوا نویس حرفه ای توی شرکت دولتی کار میکنه پروژه ای کم کم۱۵ میگیره ۹ماه دنبال یه جاوا نویس حرفه ای بودن پیدا نکردن,من شروع کردم فقط جاوا برای اندروید میخونم
من پسر خالم جاوا نویس حرفه ای توی شرکت دولتی کار میکنه پروژه ای کم کم۱۵ میگیره ۹ماه دنبال یه جاوا نویس حرفه ای بودن پیدا نکردن,دقیقا مشکل ماهم همینه
من شروع کردم فقط جاوا برای اندروید میخونم,جاوا سمت سرور و اطلاعاتش خیلی الان کار داره بیشتر شرکت های دولتی سمت این زبان رفتن
دقیقا مشکل ماهم همینه,کحا؟؟؟
شما صحبت های دیروز توی گروه نخوندی بحثش بود گفتیم اول علاقه مشخص بشه بعد سمت اون یه زبان به صورت حرفه ای یاد بگیریم بعو بریم سراغ زبان های دیگ,دقیقا اشتباهاتی که من کردم
دقیقا اشتباهاتی که من کردم,از هر شاخه یه نوکی زدی؟؟؟؟
به نظرم تو یه چیزی میخوایی خیلی حرفه ای بشی نباید بری سراغ چیزای دیگه,ربطی نداره من الان یه فردی رو میشناسم ۴۰سال برنامه نویسی میکنه به ۳۰زبان برنامه نویسی هم مسلط یعنی توی گروه سوال نیست ازش بپرسن و جواب نده خیلی هم موفق بستگی به هدف و علاقه داره
اتفاقا بحثش بود گفت خیلی خوبه گفت ممکنه این ماه پروژه اندروید بم بخوره ماهی دیگ پروژه سایت ماهی دیگ تست نفوذ بم بخوره,تو یک زبان بهترین باشی بهتره تا تا زبان بلد باشی البته بعضی زبان ها هم مجبوری یاد بگیری
تو یک زبان بهترین باشی بهتره تا تا زبان بلد باشی البته بعضی زبان ها هم مجبوری یاد بگیری,بستگی به کارت داره وقتی یه زبان حرفه ای بلد باشی یادگیری زبان های دیگ خیلی اسون تر میشه برات
من خودم اول سی شارپ و یاد گرفتم بعد رفتم بعد مجبور شدم و یاد بگیرم,زبان از خیلی بهتره
من خودم اول سی شارپ و یاد گرفتم بعد رفتم بعد مجبور شدم و یاد بگیرم,مثل اینه اول مکانیکی یاد گرفتی بعد رفتی صافکاری یاد گرفتی بعد رفتی رانندگی یادگرفتی
اره اچار فرانسس ولی جاوا پیشرفته تر و بروز تره از سی شارپ,سی شارپ هر چقدر یاد بگیری احساس میکنی هیچی بلد نیستی
سی شارپ هر چقدر یاد بگیری احساس میکنی هیچی بلد نیستی,ن دیگ اینجوریا هم نیست
ن دیگ اینجوریا هم نیست,بلدی سی شارپ؟
بلدی سی شارپ؟,بودم خیلی وقته کار نکردم یادم رفته دیگ
یه سرچ بزن,سرچ زدیم دیگ
این نمودار تا هست,چون امار رسمی دیگ منتشر نکردن فعلا بقیش امار واقعی صددرصد نیست توجه کنی امار سایت ها باهم فرق داره
این رنکینگ سایت هست اگه اشتباه نکنم الان چک کردم سایت های معتبر مثل گیتاب و استک اورفلو هنوز چیزی اعلام نکردن برای رنکینگ,آمار فریم ورک ها رو میتونی بفرستی
آمار فریم ورک ها رو میتونی بفرستی,بزار سرچی کنم پیدا کردم چشم
بزار سرچی کنم پیدا کردم چشم,لاراول خیلی داشت جلو میرفت آخرین باری که دیدم
لاراول خیلی داشت جلو میرفت آخرین باری که دیدم,اره منم یه رنکینگ دیدم خدایی لاراول پیشرفت خوبی دلشت
اما لاراول و ویو جی اس عالی پیشرفت کردن,اینده دارن
جالب اینجاس سایت گیتاب امتیازی بهش نداده,کلا اخلاقشه امتیاز نمیده
اما لاراول و ویو جی اس عالی پیشرفت کردن,درسته من اينو جاهاي ديگه اي هم شنيدم كه پيشرفتشون عالي بوده
درسته من اينو جاهاي ديگه اي هم شنيدم كه پيشرفتشون عالي بوده,بله پیشرفتشون قابل تحسینه
تو دیگ از دست رفتی,اما میخوام یه زبان سمت سرور یاد بگیرم فعلا نظرم رو هست
اما میخوام یه زبان سمت سرور یاد بگیرم فعلا نظرم رو هست,اول اگه کار میخوای
اول اگه کار میخوای,من میخوام از فرار کنم
من میخوام از فرار کنم,برو جاوا پس
الان هر کسی که می خواد زبان انتخاب کنه، بنده شخصا، قویا توضیه می کنم که بره سراغ جاوااسکریپت,این دروغ میگه میخواد توی گروهش بمونید
این دروغ میگه میخواد توی گروهش بمونید,گروه ما که جاوااسکریپت
الان هر کسی که می خواد زبان انتخاب کنه، بنده شخصا، قویا توضیه می کنم که بره سراغ جاوااسکریپت,منم اسکریپت رو خیلی دوس دارم ولی متسفانه کارایی زیادی نداره خدایی
گروه ما که جاوااسکریپت,از شوخی گفتم
چی هست و چکار میکنه؟,برای ارتباط فلش پلیر هست
تو یک اموزش دیدم برای ارسال اطلاعات و ثبت اطلاعات در دیتابیس این فایل رو در لوکال هاست قرار میده,اموزش چی
تو یک اموزش دیدم برای ارسال اطلاعات و ثبت اطلاعات در دیتابیس این فایل رو در لوکال هاست قرار میده,لازمه قرار بدم؟
لازمه قرار بدم؟,من نمی دونم رویه اون اموزش به چه صورت هستش ولی تو این لینکی که دادم اطلاعات کاملی از این فایل هستش
عزیز حقوق ناشر رو باید حفظ کرد,درسته
کلا جاوا رو له کرد سی شارپ برد بالا,كلا اينطور نگرش ها رو من قبول ندارم، هر زباني در جايگاه خودش كاربراي خودشو داره جاوا يه سري لايه هاي امنيتي داره كه تمام بانك ها سامانه هاشون رو با همين زبان پياده ميكنن خيلي مسخرس اگه با سي شارپ مقايسه بشه
كلا اينطور نگرش ها رو من قبول ندارم، هر زباني در جايگاه خودش كاربراي خودشو داره جاوا يه سري لايه هاي امنيتي داره كه تمام بانك ها سامانه هاشون رو با همين زبان پياده ميكنن خيلي مسخرس اگه با سي شارپ مقايسه بشه,دقیقا ولی از صحبت های اخرش خوشم اومد چندسال دیگ سقوط میکنن الان اگه امنیت نبود پایتون هیچ حرفی واسه گفتن نداشت
چندسال دیگ یکه تازی میکنه,دوستمون هم فرمودن هر زبان جایگاه خودش رو داره چون اکثرا طراح وب هستن دوستان این نظرات رو میدن یادمون باشه زبان ها کاربرد های دیگه هم دارن به غیر از طراحی وب
سلام چرا پیشخوانم اینطوری شده؟؟,اگر از جوملا استفاده میکنید مشکل از افزونه ای که نصب کردی اگر وردپرس کدهای این با کدهای افزونه ای همخوانی نداره باعث تداخل میشه
اگر از جوملا استفاده میکنید مشکل از افزونه ای که نصب کردی اگر وردپرس کدهای این با کدهای افزونه ای همخوانی نداره باعث تداخل میشه,نه وردپرسه، ولی لوکاله
هیچی فقط مقاله نوشتم,افزونه گوتنبرگ رو غیرفعال کنید و یکبار هم سوپر رفرش کنید ببینید درست میشه
افزونه گوتنبرگ رو غیرفعال کنید و یکبار هم سوپر رفرش کنید ببینید درست میشه,چشم ممنون
اگر از جوملا استفاده میکنید مشکل از افزونه ای که نصب کردی اگر وردپرس کدهای این با کدهای افزونه ای همخوانی نداره باعث تداخل میشه,از شما هم ممنون
طراحی سخته باید به دست طراح بسپارید من چندتا نمونه تصویر داشتم از اقای حصارکی مشابهش رو ندیدم,و سعی کنید اگر میخواید کارتون خوب دربیاد از یک رنگ واحد استفاده کنید در کل طراحی
ممنون که ساخت ویروس رو به بچه ها آموزش میدی,شوخی یا جدی؟؟؟ میخواید تا نفرستم
شوخی یا جدی؟؟؟ میخواید تا نفرستم,این که برنامه نویسای گروه این ترفند ها رو بلد باشن بد نیست، ولی خب جوریم نباشه که بیان درب گروهو به جرم حمله به امنیت ملی تخته کنن
این که برنامه نویسای گروه این ترفند ها رو بلد باشن بد نیست، ولی خب جوریم نباشه که بیان درب گروهو به جرم حمله به امنیت ملی تخته کنن,ن بابا قصد دارم هفته ای یه برنامه کاربردی معرفی کنم ترفند برنامه نویسی هم بگم
آموزش جاوا اسکریپت دارین؟,دوره آموزشی جاوا اسکریپت سون لرن رو تهیه کنید خوبه
سلام کازمند خانم میخوام حقوق لطفا پی وی,سلام، لطفا شرح شغل کامل فردی که می خواید استخدام بکنید رو هم ضمیمه پیامتون کنید
ابدارچی نمیخواید رایگان؟؟؟,بزرگواريد شما
بزرگواريد شما,عزیزدلی
این کد مشکل داره؟,کدوم خطش چه اروری میده؟
اقای شفی زاده میشه پین کنین؟؟,چی رو؟
اروری نمیده,گلم مسخره کردی؟
گلم مسخره کردی؟,مسخره چرا
کجا می نویسه؟ تو دیتابیس؟,نه کلا میکنم
ببین الان اون مقداری رو که به عنوان پسوورد توی دیتابیس ذخیره کردی چطوری ساخته شده؟,تا ستون ایجاد کردم که به این شکله
یاد گرفتید بعدش برید سراغ منابع حرفه ای تر,میتونید چند مثال برام بگید؟
میتونید چند مثال برام بگید؟,مثال چی بگم؟؟؟
سلام، اگه بخوایم ایتم ورود عضویت رو به هدر اضافه کنیم، چه کدی باید بنویسم؟,در مورد وردپرس داري صحبت ميكني؟
در مورد وردپرس داري صحبت ميكني؟,بله
مرتبط با سوالتون بنویسید بعدش اگه پایین صفحه اون تگ اومد انتخابش کنید,درسته
ممنون,اگه پیدا نشد و دیدی مهمه تو لام تاکام بپرس
اگه پیدا نشد و دیدی مهمه تو لام تاکام بپرس,برای خودم نمی خواستم
برای خودم نمی خواستم,اها خب پس به کسی که میخواد حداقل بگید تو لام تا کام سوال کنه
اها خب پس به کسی که میخواد حداقل بگید تو لام تا کام سوال کنه,چشم
کسی عملگر سه تایی شنیده یا استفاده کرده ازش؟؟؟,کسی نمیدونست؟؟؟
کسی نمیدونست؟؟؟,اره یه مدل هست
دوستان سایتی سراغ ندارید مثال برنامه نویسی گذاشته باشه؟؟؟؟تمرین یا مثال,چه زبانی؟
منظورم اینه برای سایت درصد کدهای بک اند خیلی کمتر از فرانت,اگه از فریم ورکهای کامپوننت بیس جاوااسکریپت مثل استفاده کنی، میبینی که کدهای فرانت خیلی کمتر میشن
سلام کسی تو زنجان کلاس آموزش برنامه نویسی سراغ داره؟ از قیمت و اینا هم اطلاع داشته باشه؟,سلام پی وی
این کلید میانبر هست,رو تست کن
سلام,سلام روز بخیر
بنر ها معمولا هستن,منظورم زیر منو به عنوان هدر است
و البته ارتفاع ندید بهش یا اینکه بدید,البته خودشون هم میتونن بسازن همینو با و
این بنر هست,دوستان یه همچین بنری رو شما برام بسازید و به صورت کد ریسپانسیو بهم بدید چه قدر هزینه داره؟
دوستان یه همچین بنری رو شما برام بسازید و به صورت کد ریسپانسیو بهم بدید چه قدر هزینه داره؟,پی وی
پی وی,ریپورتم
من دیشب اموزش فرستادم گروه کی پاکش کرد؟؟؟؟؟,میشه فرواردش کنی
دانشجو ترم یک مهندسی کامپیوتر,خوشبتخم انشالله موفق باشد
خوشبتخم انشالله موفق باشد,مرسی
دانشجو ترم یک مهندسی کامپیوتر,با مفاهیم برنامه نویسی آشنایی دارید؟
با مفاهیم برنامه نویسی آشنایی دارید؟,نه متاسفانه
نه متاسفانه,ولی علاقه که دارین؟
با مفاهیم برنامه نویسی آشنایی دارید؟,من یکم بلدم
ولی علاقه که دارین؟,اره
من یکم بلدم,چه زبان هایی کار کردین
اره,علاقه باشه پیشرفت میکنی قطعا
با مفاهیم برنامه نویسی آشنایی دارید؟,میگم شما دکترای چی دارین
علاقه باشه پیشرفت میکنی قطعا,حتما
میگم شما دکترای چی دارین,دانشجوی ترم آخر روانشناسی هستم
دانشجوی ترم آخر روانشناسی هستم,خودتون به مفاهیم برنامه نویسی اشنایین
دانشجوی ترم آخر روانشناسی هستم,جالبه رواشناسي و برنامه نویسی خیلی از هم دورند ،
خودتون به مفاهیم برنامه نویسی اشنایین,تا حدی
جالبه رواشناسي و برنامه نویسی خیلی از هم دورند ،,بله، من بنا به علایق شخصیم توی کلاس طراحی وب شرکت کردم
بله، من بنا به علایق شخصیم توی کلاس طراحی وب شرکت کردم,میگم هزینه دوره هاش چقدر میشه
بله، من بنا به علایق شخصیم توی کلاس طراحی وب شرکت کردم,بسیار عالی موفق باشید
